N;Np;Nc;combinacao;threads_total;tempo_medio;desvio_padrao;tempo_minimo;tempo_maximo
2;1;1;(1,1);2;0,059519659999999995;0,023112616140679533;0,0382798;0,1180442
2;1;2;(1,2);3;0,053981089999999995;0,00398785923358636;0,0459671;0,063134
2;1;4;(1,4);5;0,052295219999999996;0,00107021260299064;0,0501453;0,0543675
2;1;8;(1,8);9;0,05204951;0,0017158064893512909;0,0487861;0,0555156
2;1;16;(1,16);17;0,04932814;0,00111876240927196;0,0475407;0,0514916
2;2;1;(2,1);3;0,04410813;0,0011592145479159583;0,041853;0,0454933
2;4;1;(4,1);5;0,04942444;0,0014105849809210355;0,0477148;0,0518497
2;8;1;(8,1);9;0,05174917999999999;0,003458205843150463;0,0481625;0,0594137
2;16;1;(16,1);17;0,05202933;0,0019183596863205812;0,0486329;0,0558223
8;1;1;(1,1);2;0,013127690000000001;0,0014883391599027423;0,0116408;0,0158645
8;1;2;(1,2);3;0,01403354;0,00035698094122795974;0,0135742;0,0146246
8;1;4;(1,4);5;0,0195431;0,0007039765962018903;0,0188877;0,0214403
8;1;8;(1,8);9;0,030042140000000002;0,000995318411564862;0,0281456;0,031575
8;1;16;(1,16);17;0,03236973;0,0008371471424427122;0,0308666;0,0335126
8;2;1;(2,1);3;0,015213679999999999;0,000517417444236276;0,0144142;0,0161604
8;4;1;(4,1);5;0,024366119999999998;0,0009600951679911736;0,0222528;0,0254274
8;8;1;(8,1);9;0,032284230000000004;0,0014631004367780089;0,0295504;0,0349112
8;16;1;(16,1);17;0,03443832;0,0012381422057259816;0,0318728;0,0360566
32;1;1;(1,1);2;0,006612129999999999;0,0004996319386308285;0,0059559;0,0073541
32;1;2;(1,2);3;0,01287905;0,012361898308208979;0,0062494;0,0466343
32;1;4;(1,4);5;0,01181826;0,0013848524514907719;0,0101666;0,0138241
32;1;8;(1,8);9;0,02557726;0,001904138150555258;0,0226647;0,0284385
32;1;16;(1,16);17;0,03795754;0,020984396214768726;0,0220219;0,0999797
32;2;1;(2,1);3;0,00937113;0,00018165128158094586;0,0090771;0,009638
32;4;1;(4,1);5;0,021170349999999998;0,001928768388505991;0,0169954;0,0246189
32;8;1;(8,1);9;0,032693440000000004;0,0016271219174972718;0,0294224;0,0342083
32;16;1;(16,1);17;0,03574016;0,0009516737499794765;0,03343;0,0369773
